13-12-2020-01:00:35
HMR(Hsim(ItemKNNCF, ItemKNNCB),P3alpha,Hsim(UserKNNCF, UserKNNCB),Hsim(SLIM_MSE, SLIM_BPR),PureSVD,IALS)
|iter:   163/2500 | vec: [0.06113672 0.12957628 0.03004082 0.0382851  0.20347871 0.53748237] | norm: l2 | MAP: 0.0617 |
|iter:   164/2500 | vec: [0.02883358 0.40591238 0.21824398 0.00122498 0.25754758 0.0882375 ] | norm: l2 | MAP: 0.0613 |
|iter:   165/2500 | vec: [0.06657647 0.53717855 0.20936587 0.00864722 0.17621434 0.00201755] | norm: l2 | MAP: 0.0625 |
|iter:   166/2500 | vec: [0.44093724 0.18423245 0.2021769  0.00336508 0.01775412 0.15153422] | norm: l2 | MAP: 0.0720 |
|iter:   167/2500 | vec: [0.12465801 0.44212121 0.08659948 0.13228807 0.03314067 0.18119257] | norm: l2 | MAP: 0.0651 |
|iter:   168/2500 | vec: [0.38558488 0.03842777 0.19451173 0.02226235 0.26986033 0.08935294] | norm: l2 | MAP: 0.0682 |
|iter:   169/2500 | vec: [0.03043596 0.34553677 0.49473647 0.03547708 0.02827322 0.0655405 ] | norm: l2 | MAP: 0.0629 |
|iter:   170/2500 | vec: [0.10294652 0.42657585 0.28036765 0.05584704 0.005403   0.12885994] | norm: l2 | MAP: 0.0649 |
|iter:   171/2500 | vec: [0.12983934 0.04197802 0.14048724 0.60661513 0.02367748 0.05740279] | norm: l2 | MAP: 0.0630 |
|iter:   172/2500 | vec: [0.47226441 0.04347223 0.0345648  0.04733295 0.36818581 0.03417979] | norm: l2 | MAP: 0.0682 |
|iter:   173/2500 | vec: [0.01364709 0.14083997 0.2079599  0.20167815 0.08106752 0.35480738] | norm: l2 | MAP: 0.0628 |
|iter:   174/2500 | vec: [0.06898024 0.2456979  0.19439598 0.33322737 0.09057803 0.06712048] | norm: l2 | MAP: 0.0630 |
|iter:   175/2500 | vec: [0.48498124 0.0425934  0.08200365 0.29366841 0.04268262 0.05407068] | norm: l2 | MAP: 0.0705 |
|iter:   176/2500 | vec: [0.33524932 0.02853438 0.00957552 0.40550656 0.18760043 0.0335338 ] | norm: l2 | MAP: 0.0673 |
|iter:   177/2500 | vec: [0.0589622  0.20640517 0.24883908 0.12289362 0.04354383 0.31935611] | norm: l2 | MAP: 0.0648 |
|iter:   178/2500 | vec: [0.03461983 0.21032259 0.02473274 0.40613415 0.22074597 0.10344472] | norm: l2 | MAP: 0.0605 |
|iter:   179/2500 | vec: [0.12378189 0.18495958 0.23520974 0.17740949 0.2586926  0.01994669] | norm: l2 | MAP: 0.0626 |
|iter:   180/2500 | vec: [0.07516844 0.19497669 0.08032311 0.49136079 0.10631271 0.05185827] | norm: l2 | MAP: 0.0621 |
|iter:   181/2500 | vec: [0.3291784  0.08110589 0.11681304 0.15161865 0.28653701 0.03474701] | norm: l2 | MAP: 0.0675 |
|iter:   182/2500 | vec: [0.19287869 0.07945586 0.04252942 0.03805006 0.37322388 0.2738621 ] | norm: l2 | MAP: 0.0609 |
|iter:   183/2500 | vec: [0.14104723 0.07603463 0.65178317 0.00294616 0.00896987 0.11921894] | norm: l2 | MAP: 0.0651 |
