19-12-2020-01:05:37
|UserKNNCF| iter:   246/1740 | topk: 130 | shrink:  60 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   247/1740 | topk: 130 | shrink:  70 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   248/1740 | topk: 130 | shrink:  80 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   249/1740 | topk: 130 | shrink:  90 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   250/1740 | topk: 130 | shrink: 100 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   251/1740 | topk: 130 | shrink: 110 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   252/1740 | topk: 130 | shrink: 120 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   253/1740 | topk: 130 | shrink: 130 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   254/1740 | topk: 130 | shrink: 140 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   255/1740 | topk: 130 | shrink: 150 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   256/1740 | topk: 130 | shrink: 160 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   257/1740 | topk: 130 | shrink: 170 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   258/1740 | topk: 130 | shrink: 180 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   259/1740 | topk: 130 | shrink: 190 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   260/1740 | topk: 140 | shrink:   0 | sim type: splus | MAP: 0.0518 |
|UserKNNCF| iter:   261/1740 | topk: 140 | shrink:  10 | sim type: splus | MAP: 0.0550 |
